question,answer,source,focus_area
What is (are) 21-hydroxylase deficiency ?,"21-hydroxylase-deficiency is a genetic disorder of cortisol biosynthesis. It is caused by mutations in the human 21-hydroxylase gene (CYP21A2). Symptoms of 21-hydroxylase deficiency vary, but can involve salt-wasting crises in infants; ambiguous genitalia in female infants; excessive hair, deep voice, abnormal periods, no periods, and fertility problems in older girls and women; early development of masculine features in boys; and shorter than average adult height, acne, and blood pressure problems.",GARD,21-hydroxylase deficiency
What is (are) 22q11.2 deletion syndrome ?,"22q11.2 deletion syndrome is a spectrum disorder that includes conditions formerly called DiGeorge syndrome; velocardiofacial syndrome; conotruncal anomaly face syndrome; cases of Opitz G/BBB syndrome; and Cayler cardiofacial syndrome. The features and severity can vary greatly among affected people. Signs and symptoms may include cleft palate, heart defects, recurrent infections, unique facial characteristics, feeding problems, immune system disorders, kidney abnormalities, hypoparathyroidism, thrombocytopenia, scoliosis, hearing loss, developmental delay, and learning disabilities. People with this condition are also more likely to develop certain autoimmune disorders and personality disorders. In most cases, the syndrome occurs for the first time in the affected person; about 10% of cases are inherited from a parent. It is inherited in an autosomal dominant manner.",GARD,22q11.2 deletion syndrome
What are the genetic changes related to 2q37 deletion syndrome ?,2q37 deletion syndrome is caused by a deletion of genetic material from a specific region in the long (q) arm of chromosome 2. The deletion occurs near the end of the chromosome at a location designated 2q37. The size of the deletion varies among affected individuals. The signs and symptoms of this disorder are probably related to the loss of multiple genes in this region.,GHR,2q37 deletion syndrome
"What are the symptoms of 48,XXYY syndrome ?","What are signs and symptoms of 48,XXYY syndrome? 48,XXYY affects various body systems including disruption of male sexual development. Adolescent and adult males with this condition typically have small testes that do not produce enough testosterone, which is the hormone that directs male sexual development. A shortage of testosterone during puberty can lead to reduced facial and body hair, poor muscle development, low energy levels, and an increased risk for breast enlargement (gynecomastia). Because their testes do not function normally, males with 48, XXYY syndrome have an inability to father children (infertility). 48,XXYY syndrome can affect other parts of the body as well. Males with 48,XXYY syndrome are often taller than other males their age. They tend to develop a tremor that typically starts as a young adult and worsens with age. Dental problems are frequently seen with this condition; they include delayed appearance of the primary (baby) or secondary (adult) teeth, thin tooth enamel, crowded and/or misaligned teeth, and multiple cavities. As affected males get older, they may develop a narrowing of the blood vessels in the legs, called peripheral vascular disease. Peripheral vascular disease can cause skin ulcers to form. Affected males are also at risk for developing a type of clot called a deep vein thrombosis (DVT) that occurs in the deep veins of the legs. Additionally, males with 48,XXYY syndrome may have flat feet (pes planus), elbow abnormalities, allergies, asthma, type 2 diabetes, seizures, and congenital heart defects. Most males with 48,XXYY syndrome have some degree of difficulty with speech and language development. Learning disabilities, especially reading problems, are very common in males with this disorder. Affected males seem to perform better at tasks focused on math, visual-spatial skills such as puzzles, and memorization of locations or directions. Some boys with 48,XXYY syndrome have delayed development of motor skills such as sitting, standing, and walking that can lead to poor coordination. Affected males have higher than average rates of behavioral disorders, such as attention deficit hyperactivity disorder (ADHD); mood disorders, including anxiety and bipolar disorder; and/or autism spectrum disorders, which affect communication and social interaction.",GARD,"48,XXYY syndrome"
What is (are) Abdominal Adhesions ?,"Abdominal adhesions are bands of  fibrous tissue that can form between abdominal tissues and organs. Normally, internal tissues and organs have slippery surfaces, preventing them from sticking together as the body moves. However, abdominal adhesions cause tissues and organs in the abdominal cavity to stick together.",NIDDK,Abdominal Adhesions
What is (are) Acquired Cystic Kidney Disease ?,"Acquired cystic kidney disease happens when a person's kidneys develop fluid-filled sacs, called cysts, over time. Acquired cystic kidney disease is not the same as polycystic kidney disease (PKD), another disease that causes the kidneys to develop multiple cysts.
                
Acquired cystic kidney disease occurs in children and adults who have
                
- chronic kidney disease (CKD)a condition that develops over many years and may lead to end-stage kidney disease, or ESRD. The kidneys of people with CKD gradually lose their ability to filter wastes, extra salt, and fluid from the blood properly.  - end-stage kidney diseasetotal and permanent kidney failure that requires a kidney transplant or blood-filtering treatments called dialysis.
                
The cysts are more likely to develop in people who are on kidney dialysis. The chance of developing acquired cystic kidney disease increases with the number of years a person is on dialysis. However, the cysts are caused by CKD or kidney failure, not dialysis treatments.
                
More information is provided in the NIDDK health topics, kidney failureand dialysis.",NIDDK,Acquired Cystic Kidney Disease
How to diagnose Acromegaly ?,"Blood tests
                
If acromegaly is suspected, a doctor must measure the GH level in a persons blood to determine if it is elevated. However, a single measurement of an elevated blood GH level is not enough to diagnose acromegaly: Because GH is secreted by the pituitary in impulses, or spurts, its concentration in the blood can vary widely from minute to minute. At a given moment, a person with acromegaly may have a normal GH level, whereas a GH level in a healthy person may even be five times higher.
                
More accurate information is obtained when GH is measured under conditions that normally suppress GH secretion. Health care professionals often use the oral glucose tolerance test to diagnose acromegaly because drinking 75 to 100 grams of glucose solution lowers blood GH levels to less than 1 nanogram per milliliter (ng/ml) in healthy people. In people with GH overproduction, this suppression does not occur. The oral glucose tolerance test is a highly reliable method for confirming a diagnosis of acromegaly.
                
Physicians also can measure IGF-I levels, which increase as GH levels go up, in people with suspected acromegaly. Because IGF-I levels are much more stable than GH levels over the course of the day, they are often a more practical and reliable screening measure. Elevated IGF-I levels almost always indicate acromegaly. However, a pregnant womans IGF-I levels are two to three times higher than normal. In addition, physicians must be aware that IGF-I levels decline with age and may also be abnormally low in people with poorly controlled diabetes or liver or kidney disease.
                
Imaging
                
After acromegaly has been diagnosed by measuring GH or IGF-I levels, a magnetic resonance imaging (MRI) scan of the pituitary is used to locate and detect the size of the tumor causing GH overproduction. MRI is the most sensitive imaging technique, but computerized tomography (CT) scans can be used if the patient should not have MRI. For example, people who have pacemakers or other types of implants containing metal should not have an MRI scan because MRI machines contain powerful magnets.
                
If a head scan fails to detect a pituitary tumor, the physician should look for non-pituitary ""ectopic"" tumors in the chest, abdomen, or pelvis as the cause of excess GH. The presence of such tumors usually can be diagnosed by measuring GHRH in the blood and by a CT scan of possible tumor sites.
                
Rarely, a pituitary tumor secreting GH may be too tiny to detect even with a sensitive MRI scan.",NIDDK,Acromegaly
How to diagnose Adrenal Insufficiency and Addison's Disease ?,"In its early stages, adrenal insufficiency can be difficult to diagnose. A health care provider may suspect it after reviewing a persons medical history and symptoms.
                
A diagnosis of adrenal insufficiency is confirmed through hormonal blood and urine tests. A health care provider uses these tests first to determine whether cortisol levels are too low and then to establish the cause. Imaging studies of the adrenal and pituitary glands can be useful in helping to establish the cause.
                
A lab technician performs the following tests in a health care providers office, a commercial facility, or a hospital.
                
Hormonal Blood and Urine Tests
                
- ACTH stimulation test. The ACTH stimulation test is the most commonly used test for diagnosing adrenal insufficiency. In this test, the patient is given an intravenous (IV) injection of synthetic ACTH, and samples of blood, urine, or both are taken before and after the injection. The cortisol levels in the blood and urine samples are measured in a lab. The normal response after an ACTH injection is a rise in blood and urine cortisol levels. People with Addisons disease or longstanding secondary adrenal insufficiency have little or no increase in cortisol levels.  Both low- and high-dose ACTH stimulation tests may be used depending on the suspected cause of adrenal insufficiency. For example, if secondary adrenal insufficiency is mild or has only recently occurred, the adrenal glands may still respond to ACTH because they have not yet shut down their own production of hormone. Some studies have suggested a low dose1 microgram (mcg)may be more effective in detecting secondary adrenal insufficiency because the low dose is still enough to raise cortisol levels in healthy people, yet not in people with mild or recent secondary adrenal insufficiency. However, recent research has shown that a significant proportion of healthy children and adults can fail the low-dose test, which may lead to unnecessary treatment. Therefore, some health care providers favor using a 250 mcg ACTH test for more accurate results.   - CRH stimulation test. When the response to the ACTH test is abnormal, a CRH stimulation test can help determine the cause of adrenal insufficiency. In this test, the patient is given an IV injection of synthetic CRH, and blood is taken before and 30, 60, 90, and 120 minutes after the injection. The cortisol levels in the blood samples are measured in a lab. People with Addisons disease respond by producing high levels of ACTH, yet no cortisol. People with secondary adrenal insufficiency do not produce ACTH or have a delayed response. CRH will not stimulate ACTH secretion if the pituitary is damaged, so no ACTH response points to the pituitary as the cause. A delayed ACTH response points to the hypothalamus as the cause.
                
Diagnosis during Adrenal Crisis
                
Although a reliable diagnosis is not possible during adrenal crisis, measurement of blood ACTH and cortisol during the crisisbefore treatment with corticosteroids is givenis often enough to make a preliminary diagnosis. Low blood sodium, low blood glucose, and high blood potassium are also sometimes present at the time of adrenal crisis. Once the crisis is controlled, an ACTH stimulation test can be performed to help make a specific diagnosis. More complex lab tests are sometimes used if the diagnosis remains unclear.",NIDDK,Adrenal Insufficiency and Addison's Disease
What is (are) Adult Acute Lymphoblastic Leukemia ?,"Key Points
                    - Adult acute lymphoblastic leukemia (ALL) is a type of cancer in which the bone marrow makes too many lymphocytes (a type of white blood cell).    - Leukemia may affect red blood cells, white blood cells, and platelets.    - Previous chemotherapy and exposure to radiation may increase the risk of developing ALL.    - Signs and symptoms of adult ALL include fever, feeling tired, and easy bruising or bleeding.     - Tests that examine the blood and bone marrow are used to detect (find) and diagnose adult ALL.    - Certain factors affect prognosis (chance of recovery) and treatment options.
                
                
                    Adult acute lymphoblastic leukemia (ALL) is a type of cancer in which the bone marrow makes too many lymphocytes (a type of white blood cell).
                    Adult acute lymphoblastic leukemia (ALL; also called acute lymphocytic leukemia) is a cancer of the blood and bone marrow. This type of cancer usually gets worse quickly if it is not treated.
                
                
                    Leukemia may affect red blood cells, white blood cells, and platelets.
                    Normally, the bone marrow makes blood stem cells (immature cells) that become mature blood cells over time. A blood stem cell may become a myeloid stem cell or a lymphoid stem cell.   A myeloid stem cell becomes one of three types of mature blood cells:          -  Red blood cells that carry oxygen and other substances to all tissues of the body.    -  Platelets that form blood clots to stop bleeding.    -  Granulocytes (white blood cells) that fight infection and disease.         A lymphoid stem cell becomes a lymphoblast cell and then one of three types of lymphocytes (white blood cells):         -  B lymphocytes that make antibodies to help fight infection.    -  T lymphocytes that help B lymphocytes make the antibodies that help fight infection.    -  Natural killer cells that attack cancer cells and viruses.         In ALL, too many stem cells become lymphoblasts, B lymphocytes, or T lymphocytes. These cells are also called leukemia cells. These leukemia cells are not able to fight infection very well. Also, as the number of leukemia cells increases in the blood and bone marrow, there is less room for healthy white blood cells, red blood cells, and platelets. This may cause infection, anemia, and easy bleeding. The cancer can also spread to the central nervous system (brain and spinal cord).     This summary is about adult acute lymphoblastic leukemia. See the following PDQ summaries for information about other types of leukemia:          -  Childhood Acute Lymphoblastic Leukemia Treatment.    -  Adult Acute Myeloid Leukemia Treatment.    -  Childhood Acute Myeloid Leukemia/Other Myeloid Malignancies Treatment.    -  Chronic Lymphocytic Leukemia Treatment.    -  Chronic Myelogenous Leukemia Treatment.    -  Hairy Cell Leukemia Treatment.",CancerGov,Adult Acute Lymphoblastic Leukemia
What is the outlook for Adult Acute Myeloid Leukemia ?,Certain factors affect prognosis (chance of recovery) and treatment options. The prognosis (chance of recovery) and treatment options depend on:         - The age of the patient.    - The subtype of AML.    - Whether the patient received chemotherapy in the past to treat a different cancer.    - Whether there is a history of a blood disorder such as myelodysplastic syndrome.    - Whether the cancer has spread to the central nervous system.    - Whether the cancer has been treated before or recurred (come back).         It is important that acute leukemia be treated right away.,CancerGov,Adult Acute Myeloid Leukemia
